Stand	Plot	TreeID	x_DBH_local_TLS	y_DBH_local_TLS	dbh_TLS	h_TLS	cra_TLS	dbh_field	h_field
140	140_1	403	0.069099	4.656659	20.244134	16.98373	10.465	21.2	16.5
140	140_1	402	-3.096074	1.277633	22.030354	19.28993	10.508	23	20.5
140	140_1	405	4.356762	4.832368	23.177548	19.37853	9.389	23.5	20.6
140	140_1	401	-3.63937	-0.501653	26.262732	21.89461	10.84	27.6	22.6
140	140_1	407	0.444579	-3.682932	26.616046	15.91192	0.224	27.8	22.2
140	140_1	406	3.003261	1.257523	27.737125	20.9511	10.787	28.4	21.5
140	140_2	413	1.004639	4.38777	19.840274	19.2155	11.77	32.1	22.8
140	140_2	409	-3.021739	-3.948631	21.890547	19.7399	12.554	27.3	23.5
140	140_2	415	2.745055	0.520477	23.963742	21.13554	17.183	37.1	23.9
140	140_2	411	-4.812617	-0.141423	24.532403	20.76083	9.802	31.7	23.5
140	140_2	408	1.33386	-2.533144	25.988509	22.24158	15.681	27.3	22.5
140	140_2	412	-1.75401	1.354911	29.689852	22.21041	14.913	25.8	24.5
140	140_2	410	-3.740653	-2.151471	30.650092	21.93662	11.254	22.6	21.1
140	140_2	414	5.604393	5.130117	34.871083	23.69632	10.246	20.3	20.1
141	141_1	304	2.272685	-1.445822	27.852596	23.11411	19.426	28.9	23.2
141	141_1	305	-0.691404	-3.541962	27.882979	22.57477	20.042	28.6	23.9
141	141_1	306	-7.631646	-0.833771	29.919044	22.98375	17.41	31.4	23.4
141	141_1	301	1.615775	3.532078	31.289451	22.01445	23.373	33.3	22.3
141	141_1	307	-3.454746	7.702506	33.548975	25.27014	21.195	37.8	25.5
141	141_1	308	1.543308	11.360552	34.581312	25.49417	11.864	36.4	25.3
141	141_1	302	6.985224	4.148153	35.927872	25.14675	22.731	36.9	25.4
141	141_1	303	7.611563	-2.269182	39.309448	23.59923	23.215	40.4	23.9
141	141_2	309	1.543445	2.355108	21.751849	21.79064	14.465	23.1	23.3
141	141_2	313	-2.9323	-2.531152	22.79107	21.16478	14.547	24.8	21.2
141	141_2	310	2.111515	-1.806798	24.815904	22.8637	14.608	27.2	23.5
141	141_2	315	-4.40456	3.944491	26.932264	21.35858	11.596	28.2	22.2
141	141_2	314	-5.313346	-1.111558	27.343704	22.53189	11.544	29.8	22.8
141	141_2	316	-0.786541	3.737543	28.048386	22.38977	15.765	29.8	23.7
141	141_2	312	-0.500556	-6.91527	28.750153	23.35893	18.489	30.6	23.6
141	141_2	311	3.167337	-6.550762	31.71691	25.06796	21.685	34.4	26.2
141	141_3	317	-1.53997	-4.869246	29.164612	22.85271	21.647	30.7	23.5
141	141_3	321	5.138464	-0.162506	31.242128	22.10159	15.828	33.4	22.6
141	141_3	318	-1.434183	0.690968	32.730716	24.57712	20.473	33.2	25
141	141_3	319	-2.69313	8.443081	33.93318	22.2714	16.682	34.2	22.7
141	141_3	320	1.238581	5.17662	36.879567	24.89522	21.732	42	25.1
141	141_3	322	6.416918	-3.295593	37.816997	24.25862	17.805	39.6	24.7
151	151_1	504	-3.230651	-3.277705	21.988931	21.97844	8.109	23.1	22.6
151	151_1	507	-9.872729	2.399557	22.025925	20.65789	15.421	23.7	21.8
151	151_1	506	-7.392212	1.268676	22.533591	20.11195	10.199	23	21.4
151	151_1	503	-0.448051	-4.075687	24.900187	23.10145	10.759	26	23.6
151	151_1	502	6.802506	1.436835	25.409083	21.63636	8.704	27.5	22
151	151_1	508	-5.521749	6.228825	26.022152	23.09361	12.902	28	23.8
151	151_1	505	-5.473266	-4.470946	26.625998	21.99097	9.858	27.6	22.7
151	151_1	501	1.858804	1.697456	35.584809	25.2753	19.923	39.1	25.1
151	151_2	514	-3.981933	0.14859	19.371099	20.18149	12.115	19.8	20.4
151	151_2	509	2.253152	-3.153971	22.568093	21.86177	10.765	23.3	22.5
151	151_2	513	-8.041192	-2.818327	22.728817	21.45803	9.636	23.9	21.9
151	151_2	510	1.377315	-5.853469	23.779107	21.46833	8.305	24.4	23.1
151	151_2	515	-0.128171	1.908753	25.21245	20.84486	11.168	25.4	21.2
151	151_2	512	-1.955431	-3.416521	25.620861	22.32434	8.558	26.5	23.1
151	151_2	516	9.361908	0.402281	25.819018	22.48661	10.083	27.8	23.1
151	151_2	511	-0.152092	-2.638244	29.706776	23.29838	8.573	31.2	23.6
151	151_3	518	1.626811	-1.886278	19.472308	20.18257	12.723	20	21.2
151	151_3	523	-5.814765	-1.618005	19.685778	19.61547	16.432	20.1	19.6
151	151_3	517	0.739508	1.928507	21.035495	19.57202	13.382	22.1	21.3
151	151_3	519	0.199807	-6.772876	22.737381	22.17062	11.744	24.4	23
151	151_3	525	-2.716512	1.253366	23.348863	20.41175	13.166	24.2	21.4
